folioviv,foliohog,numren,clave,material,gasto,gasto_tri
02080492501,1,04,E003A,200,200,580.64
02080492501,1,03,E004A,200,200,580.64
02080492501,1,03,E004B,500,500,1451.61
02080492502,1,03,E004B,200,200,580.64
02080492502,1,04,E002B,200,200,580.64
02080492502,1,03,E004A,400,400,1161.29
02080492502,1,04,E002A,400,400,1161.29
02080492504,1,02,E005B,300,300,870.96
02080492504,1,03,E005B,200,200,580.64
02080492504,1,03,E005A,300,300,870.96
02080492504,1,02,E005A,400,400,1161.29
02081980306,1,03,E005A,400,400,1161.29
02082290203,1,02,E005A,1500,1500,4354.83
02600511202,1,05,E001B,180,180,522.58
02600511202,1,05,E001A,120,120,348.38
02600511202,1,06,E001A,120,120,348.38
02600511202,1,06,E001B,180,180,522.58
02600511203,1,05,E004B,90,90,261.29
02600511205,1,04,E004B,300,300,870.96
02600511205,1,03,E005B,200,200,580.64
02600511205,1,04,E004A,500,500,1451.61
02600511205,1,03,E005A,1000,1000,2903.22
02600531106,1,03,E004A,299,299,868.06
02600531106,1,04,E002A,299,299,868.06
02601271404,1,03,E002A,30,30,90
02601271404,1,04,E002A,30,30,90
02601271406,1,03,E003A,40,40,120
02601272301,1,03,E001B,200,200,580.64
02601272306,1,03,E002B,700,700,2032.25
02601272306,1,04,E002B,600,600,1741.93
02603130910,1,04,E004B,2000,2000,6428.57
02603130910,1,03,E004B,2000,2000,6428.57
02603130912,1,03,E002A,1600,1600,5142.85
02603132703,1,05,E004A,500,500,1451.61
02603132703,1,05,E004B,200,200,580.64
02603132703,1,06,E002A,300,300,870.96
02604043304,1,04,E005A,500,500,1451.61
03000093204,1,07,E002B,300,300,870.96
03000131503,1,03,E005B,100,100,300
03000131503,1,03,E005A,100,100,300
03000390602,1,03,E005A,100,100,290.32
03000390602,1,03,E005B,200,200,580.64
03000700802,1,02,E005B,39,39,125.35
03000700802,1,02,E005A,144,144,462.85
03000700805,1,06,E002A,100,100,321.42
03000700805,1,06,E002B,100,100,321.42
03000713003,1,04,E004A,500,500,1500
03000713004,1,03,E001B,950,950,2850
03000713004,1,03,E001A,50,50,150
03000923103,1,05,E003B,250,250,725.8
03000942903,1,03,E002A,300,300,900
03001021204,1,03,E003B,100,100,290.32
03001021204,1,03,E003A,200,200,580.64
03001241301,1,05,E002A,38,38,114
03001241301,1,07,E002A,38,38,114
03001241303,1,03,E005A,180,180,540
03001241303,1,03,E005B,50,50,150
03001241305,1,03,E002B,130,130,390
03001901306,1,04,E002A,300,300,900
03001901306,1,05,E002A,400,400,1200
03002172701,1,04,E002A,1000,1000,2903.22
03002172701,1,04,E002B,1000,1000,2903.22
03002172703,1,04,E002A,400,400,1161.29
03002172703,1,03,E003B,350,350,1016.12
03002172703,1,03,E003A,350,350,1016.12
03002172703,1,04,E002B,500,500,1451.61
03002172703,1,05,E002B,500,500,1451.61
03002172703,1,05,E002A,400,400,1161.29
03002172705,1,04,E002A,500,500,1451.61
03002172705,1,03,E003A,750,750,2177.41
03002172705,1,03,E003B,750,750,2177.41
03002172705,1,04,E002B,500,500,1451.61
03002463106,1,04,E001A,300,300,870.96
03002463106,1,04,E001B,300,300,870.96
03002530803,2,01,E005A,150,150,482.14
03002530803,2,02,E005B,150,150,482.14
03002530803,2,02,E005A,150,150,482.14
03002530803,2,01,E005B,150,150,482.14
03002651701,1,05,E002A,200,200,580.64
03002651701,1,04,E002A,200,200,580.64
03002651706,1,03,E002A,400,400,1161.29
03002651706,1,02,E004B,400,400,1161.29
03002800704,1,05,E002A,60,60,192.85
03002800704,1,04,E002B,30,30,96.42
03002800704,1,04,E002A,60,60,192.85
03002800704,1,03,E004A,50,50,160.71
03002871003,1,05,E002B,205,205,595.16
03002871003,1,04,E002B,205,205,595.16
03002871003,1,05,E002A,205,205,595.16
03002871003,1,04,E002A,205,205,595.16
03002871006,1,03,E004A,495,495,1437.09
03002893404,1,03,E003B,300,300,900
03002893404,1,04,E002B,300,300,900
03002902602,1,04,E002B,200,200,580.64
03002902603,1,04,E002B,720,720,2090.32
03002902603,1,04,E002A,480,480,1393.54
03002922501,1,05,E002A,250,250,725.8
